Rank,Name,Weapon Type,Archetype,Overall %,Δ 2 Weeks
"1088","Hoosegow","Rocket Launcher","Adaptive Frame","0.02%","∞%"
"1089","Briar's Contempt (Adept)","Linear Fusion Rifle","Adaptive Burst","0.02%","∞%"
"1090","Forbearance","Grenade Launcher","Wave Frame","0.02%","∞%"
"1091","Abide the Return","Sword","Adaptive Frame","0.02%","∞%"
"1092","Acosmic","Grenade Launcher","Rapid-Fire Frame","0.02%","∞%"
"1093","Unwavering Duty","Machine Gun","Adaptive Frame","0.02%","∞%"
"1094","Nature of the Beast","Hand Cannon","Precision Frame","0.02%","∞%"
"1095","Bug-Out Bag","Submachine Gun","Adaptive Frame","0.02%","∞%"
"1096","THE SWARM (Adept)","Machine Gun","High-Impact Frame","0.02%","∞%"
"1097","Death's Razor","Sword","Vortex Frame","0.02%","∞%"
"1098","Sleepless","Rocket Launcher","High-Impact Frame","0.02%","∞%"
"1099","The Showrunner","Submachine Gun","Lightweight Frame","0.02%","∞%"
"1100","Twilight Oath","Sniper Rifle","Rapid-Fire Frame","0.02%","∞%"
"1101","Ignition Code","Grenade Launcher","Lightweight Frame","0.02%","∞%"
"1102","Judgment (Adept)","Hand Cannon","Adaptive Frame","0.02%","∞%"
"1103","Friction Fire","Submachine Gun","Precision Frame","0.02%","∞%"
"1104","Stay Frosty","Pulse Rifle","Lightweight Frame","0.02%","∞%"
"1105","Liminal Vigil","Sidearm","Heavy Burst","0.02%","∞%"
"1106","Far Future","Sniper Rifle","Adaptive Frame","0.02%","∞%"
"1107","Point of the Stag","Combat Bow","Precision Frame","0.02%","∞%"
"1108","Shadow Price (Adept)","Auto Rifle","Precision Frame","0.02%","∞%"
"1109","A Sudden Death","Shotgun","Aggressive Frame","0.02%","∞%"
"1110","Cold Front","Submachine Gun","Aggressive Frame","0.02%","∞%"
"1111","Wild Style","Grenade Launcher","Double Fire","0.02%","∞%"
"1112","Beloved","Sniper Rifle","Adaptive Frame","0.02%","∞%"
"1113","Randy's Throwing Knife","Scout Rifle","Rapid-Fire Frame","0.02%","∞%"
"1114","Heretic","Rocket Launcher","Aggressive Frame","0.02%","∞%"
"1115","Word of Crota (Adept)","Hand Cannon","Precision Frame","0.02%","∞%"
"1116","The Long Walk","Sniper Rifle","Aggressive Frame","0.02%","∞%"
"1117","Horror's Least (Adept)","Pulse Rifle","Rapid-Fire Frame","0.02%","∞%"
"1118","Zealot's Reward","Fusion Rifle","Rapid-Fire Frame","0.02%","∞%"
"1119","Greasy Luck","Glaive","Rapid-Fire Glaive","0.02%","∞%"
"1120","THE SWARM","Machine Gun","High-Impact Frame","0.02%","∞%"
"1121","Qullim's Terminus (Harrowed)","Machine Gun","High-Impact Frame","0.02%","∞%"
"1122","Afterlight (Adept)","Fusion Rifle","Adaptive Frame","0.02%","∞%"
"1123","Hollow Words","Fusion Rifle","Precision Frame","0.02%","∞%"
"1124","BrayTech Werewolf","Auto Rifle","Precision Frame","0.02%","∞%"
"1125","Forbearance (Adept)","Grenade Launcher","Wave Frame","0.02%","∞%"
"1126","Duty Bound (Adept)","Auto Rifle","Adaptive Frame","0.02%","∞%"
"1127","Edge of Concurrence","Glaive","Edge of Concurrence","0.02%","∞%"
"1128","Hush","Combat Bow","Precision Frame","0.02%","∞%"
"1129","Shepherd's Watch","Sniper Rifle","Adaptive Frame","0.02%","∞%"
"1130","Forgiveness (Adept)","Sidearm","Heavy Burst","0.02%","∞%"
"1131","Incisor","Trace Rifle","Adaptive Frame","0.02%","∞%"
"1132","Cold Denial","Pulse Rifle","High-Impact Frame","0.02%","∞%"
"1133","Belisarius-D","Pulse Rifle","Aggressive Burst","0.02%","∞%"
"1134","Koraxis's Distress (Adept)","Grenade Launcher","Rapid-Fire Frame","0.02%","∞%"
"1135","Unexpected Resurgence","Glaive","Adaptive Glaive","0.02%","∞%"
"1136","Cusp Sempiternal","Auto Rifle","Support Frame","0.02%","∞%"
"1137","Sole Survivor","Sniper Rifle","Adaptive Frame","0.02%","∞%"
"1138","Astral Horizon","Shotgun","Aggressive Frame","0.02%","∞%"
"1139","Doom of Chelchis (Harrowed)","Scout Rifle","Precision Frame","0.02%","∞%"
"1140","PLUG ONE.1","Fusion Rifle","Precision Frame","0.02%","∞%"
"1141","Prosecutor","Auto Rifle","Precision Frame","0.02%","∞%"
"1142","Jurassic Green","Pulse Rifle","Rapid-Fire Frame","0.02%","∞%"
"1143","Relentless (Adept)","Pulse Rifle","High-Impact Frame","0.02%","∞%"
"1144","Heretic's Fervor","Rocket Launcher","Aggressive Frame","0.02%","∞%"
"1145","Bonechiller","Shotgun","Pinpoint Slug Frame","0.02%","∞%"
"1146","Corsair's Wrath","Linear Fusion Rifle","Precision Frame","0.02%","∞%"
"1147","Hailing Confusion","Pulse Rifle","Adaptive Frame","0.02%","∞%"
"1148","Blasphemer","Shotgun","Pinpoint Slug Frame","0.02%","∞%"
"1149","Optative","Hand Cannon","Precision Frame","0.02%","∞%"
"1150","Accrued Redemption","Combat Bow","Precision Frame","0.02%","∞%"
"1151","Crowd Pleaser","Grenade Launcher","Adaptive Frame","0.02%","∞%"
"1152","Trinary System","Fusion Rifle","Adaptive Frame","0.02%","∞%"
"1153","A Sudden Death","Shotgun","Aggressive Frame","0.02%","∞%"
"1154","Phoneutria Fera","Hand Cannon","Spread Shot","0.02%","∞%"
"1155","Fang of Ir Yût (Adept)","Scout Rifle","Rapid-Fire Frame","0.02%","∞%"
"1156","Swordbreaker (Adept)","Shotgun","Lightweight Frame","0.02%","∞%"
"1157","Bane of Sorrow","Machine Gun","High-Impact Frame","0.02%","∞%"
"1158","Hollow Words","Fusion Rifle","Precision Frame","0.02%","∞%"
"1159","Reckless Oracle","Auto Rifle","Rapid-Fire Frame","0.02%","∞%"
"1160","The Fool's Remedy","Sidearm","Rapid-Fire Frame","0.02%","∞%"
"1161","Mechabre","Sniper Rifle","Aggressive Frame","0.02%","∞%"
"1162","Double-Edged Answer","Sword","Adaptive Frame","0.02%","∞%"
"1163","Distant Tumulus","Sniper Rifle","Rapid-Fire Frame","0.02%","∞%"
"1164","Prophet of Doom","Shotgun","Precision Frame","0.02%","∞%"
"1165","Eye of Sol (Adept)","Sniper Rifle","Adaptive Frame","0.02%","∞%"
"1166","Defiance of Yasmin (Harrowed)","Sniper Rifle","Adaptive Frame","0.02%","∞%"
"1167","Honor's Edge","Sword","Adaptive Frame","0.02%","∞%"
"1168","Pre Astyanax IV (Adept)","Combat Bow","Precision Frame","0.02%","∞%"
"1169","Negative Space","Sword","Adaptive Frame","0.02%","∞%"
"1170","The Keening","Sidearm","Adaptive Frame","0.02%","∞%"
"1171","Psychopomp (Adept)","Grenade Launcher","Area Denial Frame","0.02%","∞%"
"1172","PLUG ONE.1","Fusion Rifle","Precision Frame","0.02%","∞%"
"1173","Oversoul Edict (Adept)","Pulse Rifle","Rapid-Fire Frame","0.02%","∞%"
"1174","Terminus Horizon","Machine Gun","High-Impact Frame","0.02%","∞%"
"1175","The Prophet (Adept)","Scout Rifle","Aggressive Frame","0.02%","∞%"
"1176","Swarm of the Raven","Grenade Launcher","Rapid-Fire Frame","0.02%","∞%"
"1177","Forgiveness","Sidearm","Heavy Burst","0.02%","∞%"
"1178","Last Man Standing","Shotgun","Aggressive Frame","0.02%","∞%"
"1179","Astral Horizon","Shotgun","Aggressive Frame","0.02%","∞%"
"1180","Autumn Wind","Pulse Rifle","Rapid-Fire Frame","0.02%","∞%"
"1181","Lubrae's Ruin (Adept)","Glaive","Adaptive Glaive","0.02%","∞%"
"1182","Crux Celeritas IV","Rocket Launcher","Aggressive Frame","0.02%","∞%"
"1183","The Wizened Rebuke","Fusion Rifle","High-Impact Frame","0.02%","∞%"
"1184","Steel Sybil Z-14","Sword","Adaptive Frame","0.02%","∞%"
"1185","Crowning Duologue","Rocket Launcher","Precision Frame","0.02%","∞%"
"1186","The Forward Path","Auto Rifle","Adaptive Frame","0.02%","∞%"
"1187","Synanceia","Sword","Wave Sword Frame","0.02%","∞%"
"1188","Bite of the Fox","Sniper Rifle","Aggressive Frame","0.02%","∞%"
"1189","Peacebond","Sidearm","Adaptive Burst","0.02%","∞%"
"1190","Tigerspite","Auto Rifle","Precision Frame","0.02%","∞%"
"1191","Spare Rations","Hand Cannon","Adaptive Frame","0.02%","∞%"
"1192","Zaouli's Bane","Hand Cannon","Adaptive Frame","0.02%","∞%"
"1193","Albedo Wing","Glaive","Aggressive Glaive","0.02%","∞%"
"1194","Insidious (Adept)","Pulse Rifle","Aggressive Burst","0.02%","∞%"
"1195","Wishbringer","Shotgun","Rapid-Fire Frame","0.02%","∞%"
"1196","Anamnesis (Adept)","Combat Bow","Lightweight Frame","0.02%","∞%"
"1197","Claws of the Wolf","Pulse Rifle","Rapid-Fire Frame","0.02%","∞%"
"1198","Royal Chase","Scout Rifle","Precision Frame","0.02%","∞%"
"1199","Hung Jury SR4","Scout Rifle","Precision Frame","0.02%","∞%"
"1200","Division (Adept)","Sidearm","Heavy Burst","0.02%","∞%"
"1201","Eyes Unveiled (Adept)","Linear Fusion Rifle","Precision Frame","0.02%","∞%"
"1202","Thermal Erosion","Machine Gun","Rapid-Fire Frame","0.02%","∞%"
"1203","Horror's Least","Pulse Rifle","Rapid-Fire Frame","0.02%","∞%"
"1204","Hung Jury SR4","Scout Rifle","Precision Frame","0.02%","∞%"
"1205","Something New","Hand Cannon","Aggressive Frame","0.02%","∞%"
"1206","Silicon Neuroma (Adept)","Sniper Rifle","Aggressive Frame","0.02%","∞%"
"1207","Out of Bounds","Submachine Gun","Lightweight Frame","0.02%","∞%"
"1208","The Time-Worn Spire","Pulse Rifle","Rapid-Fire Frame","0.02%","∞%"
"1209","Berenger's Memory","Grenade Launcher","Rapid-Fire Frame","0.02%","∞%"
"1210","New Pacific Epitaph","Grenade Launcher","Wave Frame","0.02%","∞%"
"1211","Uzume RR4 (Adept)","Sniper Rifle","Adaptive Frame","0.02%","∞%"
"1212","Better Devils","Hand Cannon","Adaptive Frame","0.02%","∞%"
"1213","Nation of Beasts","Hand Cannon","Adaptive Frame","0.02%","∞%"
"1214","Bygones","Pulse Rifle","Adaptive Frame","0.02%","∞%"
"1215","Horror Story","Auto Rifle","Precision Frame","0.02%","∞%"
"1216","Warden's Law","Hand Cannon","Heavy Burst","0.02%","∞%"
"1217","Pure Poetry","Hand Cannon","Aggressive Frame","0.02%","∞%"
"1218","Abyssal Edge (Adept)","Sword","Wave Sword Frame","0.02%","∞%"
"1219","Mykel's Reverence (Adept)","Sidearm","Rapid-Fire Frame","0.02%","∞%"
"1220","The Supremacy","Sniper Rifle","Rapid-Fire Frame","0.02%","∞%"
"1221","New Pacific Epitaph (Adept)","Grenade Launcher","Wave Frame","0.02%","∞%"
"1222","Apostate","Sniper Rifle","Rapid-Fire Frame","0.02%","∞%"
"1223","Duty Bound","Auto Rifle","Adaptive Frame","0.02%","∞%"
"1224","Sola's Scar (Adept)","Sword","Caster Frame","0.02%","∞%"
"1225","Bite of the Fox","Sniper Rifle","Aggressive Frame","0.02%","∞%"
"1226","D.F.A. (Adept)","Hand Cannon","Adaptive Frame","0.02%","∞%"
"1227","Shadow Price","Auto Rifle","Precision Frame","0.02%","∞%"
"1228","The Summoner (Adept)","Auto Rifle","Adaptive Frame","0.02%","∞%"
"1229","Edge of Intent","Glaive","Edge of Intent","0.02%","∞%"
"1230","Arc Logic","Auto Rifle","Adaptive Frame","0.02%","∞%"
"1231","Zephyr","Sword","Adaptive Frame","0.01%","∞%"
"1232","Survivor's Epitaph","Hand Cannon","Precision Frame","0.01%","∞%"
"1233","IKELOS_HC_v1.0.2","Hand Cannon","Precision Frame","0.01%","∞%"
"1234","Toil and Trouble","Shotgun","Aggressive Frame","0.01%","∞%"
"1235","A Sudden Death","Shotgun","Aggressive Frame","0.01%","∞%"
"1236","Astral Horizon (Adept)","Shotgun","Aggressive Frame","0.01%","∞%"
"1237","The Keening","Sidearm","Adaptive Frame","0.01%","∞%"
"1238","The Guiding Sight","Scout Rifle","High-Impact Frame","0.01%","∞%"
"1239","Albedo Wing","Glaive","Aggressive Glaive","0.01%","∞%"
"1240","Dust Rock Blues","Shotgun","Precision Frame","0.01%","∞%"
"1241","Synanceia","Sword","Wave Sword Frame","0.01%","∞%"
"1242","Pre Astyanax IV","Combat Bow","Precision Frame","0.01%","∞%"
"1243","Nightshade","Pulse Rifle","Lightweight Frame","0.01%","∞%"
"1244","Buzzard","Sidearm","Adaptive Frame","0.01%","∞%"
"1245","Nessa's Oblation (Adept)","Shotgun","Pinpoint Slug Frame","0.01%","∞%"
"1246","Judgment","Hand Cannon","Adaptive Frame","0.01%","∞%"
"1247","Hung Jury SR4 (Adept)","Scout Rifle","Precision Frame","0.01%","∞%"
"1248","Frozen Orbit","Sniper Rifle","Aggressive Frame","0.01%","∞%"
"1249","Gunnora's Axe","Shotgun","Pinpoint Slug Frame","0.01%","∞%"
"1250","Shadow Price","Auto Rifle","Precision Frame","0.01%","∞%"
"1251","Abide the Return","Sword","Adaptive Frame","0.01%","∞%"
"1252","Blast Furnace","Pulse Rifle","Aggressive Burst","0.01%","∞%"
"1253","Redrix's Broadsword","Pulse Rifle","High-Impact Frame","0.01%","∞%"
"1254","Jurassic Green","Pulse Rifle","Rapid-Fire Frame","0.01%","∞%"
"1255","Allied Demand","Sidearm","Adaptive Frame","0.01%","∞%"
"1256","Apex Predator","Rocket Launcher","Adaptive Frame","0.01%","∞%"
"1257","Vision of Confluence (Timelost)","Scout Rifle","Precision Frame","0.01%","∞%"
"1258","Jorum's Claw","Pulse Rifle","Adaptive Frame","0.01%","∞%"
"1259","Incisor (Adept)","Trace Rifle","Adaptive Frame","0.01%","∞%"
"1260","Unwavering Duty (Adept)","Machine Gun","Adaptive Frame","0.01%","∞%"
"1261","Judgment","Hand Cannon","Adaptive Frame","0.01%","∞%"
"1262","Wendigo GL3 (Adept)","Grenade Launcher","Adaptive Frame","0.01%","∞%"
"1263","Mirror Imago","Submachine Gun","Adaptive Frame","0.01%","∞%"
"1264","Albruna-D","Sniper Rifle","Aggressive Frame","0.01%","∞%"
"1265","A Swift Verdict","Sidearm","Precision Frame","0.01%","∞%"
"1266","Midha's Reckoning (Harrowed)","Fusion Rifle","High-Impact Frame","0.01%","∞%"
"1267","Eye of Sol (Adept)","Sniper Rifle","Adaptive Frame","0.01%","∞%"
"1268","High Albedo","Sidearm","Adaptive Burst","0.01%","∞%"
"1269","BrayTech Werewolf","Auto Rifle","Precision Frame","0.01%","∞%"
"1270","Red Tape","Scout Rifle","Lightweight Frame","0.01%","∞%"
"1271","Shining Sphere","Rocket Launcher","Adaptive Frame","0.01%","∞%"
"1272","THE SWARM","Machine Gun","High-Impact Frame","0.01%","∞%"
"1273","Point of the Stag","Combat Bow","Precision Frame","0.01%","∞%"
"1274","Hung Jury SR4","Scout Rifle","Precision Frame","0.01%","∞%"
"1275","Retrofuturist","Shotgun","Lightweight Frame","0.01%","∞%"
"1276","Trust","Hand Cannon","Precision Frame","0.01%","∞%"
"1277","Kindled Orchid","Hand Cannon","Adaptive Frame","0.01%","∞%"
"1278","Omniscient Eye","Sniper Rifle","Rapid-Fire Frame","0.01%","∞%"
"1279","Imminence (Adept)","Submachine Gun","Lightweight Frame","0.01%","∞%"
"1280","Arctic Haze","Auto Rifle","Rapid-Fire Frame","0.01%","∞%"
"1281","Enigma's Draw","Sidearm","Precision Frame","0.01%","∞%"
"1282","Romantic Death","Grenade Launcher","Wave Frame","0.01%","∞%"
"1283","Eye of Sol (Adept)","Sniper Rifle","Adaptive Frame","0.01%","∞%"
"1284","Orewing's Maul","Grenade Launcher","Lightweight Frame","0.01%","∞%"
"1285","Mindbender's Ambition","Shotgun","Aggressive Frame","0.01%","∞%"
"1286","Silicon Neuroma","Sniper Rifle","Aggressive Frame","0.01%","∞%"
"1287","BrayTech Osprey","Rocket Launcher","High-Impact Frame","0.01%","∞%"
"1288","Chattering Bone","Pulse Rifle","Lightweight Frame","0.01%","∞%"
"1289","Aisha's Embrace (Adept)","Scout Rifle","Rapid-Fire Frame","0.01%","∞%"
"1290","Ribbontail","Trace Rifle","Adaptive Frame","0.01%","∞%"
"1291","Finite Impactor","Hand Cannon","Adaptive Frame","0.01%","∞%"
"1292","Undercurrent (Adept)","Grenade Launcher","Wave Frame","0.01%","∞%"
"1293","Starscape Null","Shotgun","Lightweight Frame","0.01%","∞%"
"1294","Age-Old Bond","Auto Rifle","High-Impact Frame","0.01%","∞%"
"1295","The Ever-Present","Grenade Launcher","Rapid-Fire Frame","0.01%","∞%"
"1296","Unexpected Resurgence (Adept)","Glaive","Adaptive Glaive","0.01%","∞%"
"1297","Burden of Guilt (Adept)","Fusion Rifle","Adaptive Frame","0.01%","∞%"
"1298","Wendigo GL3","Grenade Launcher","Adaptive Frame","0.01%","∞%"
"1299","The Scholar","Scout Rifle","High-Impact Frame","0.01%","∞%"
"1300","Twilight Oath","Sniper Rifle","Rapid-Fire Frame","0.01%","∞%"
"1301","Whispering Slab","Combat Bow","Lightweight Frame","0.01%","∞%"
"1302","Duke Mk. 44","Hand Cannon","Aggressive Frame","0.01%","∞%"
"1303","The Scholar","Scout Rifle","High-Impact Frame","0.01%","∞%"
"1304","Trachinus","Shotgun","Rapid Fire Slug","0.01%","∞%"
"1305","Tyranny of Heaven","Combat Bow","Lightweight Frame","0.01%","∞%"
"1306","Dark Decider","Auto Rifle","Rapid-Fire Frame","0.01%","∞%"
"1307","Folded Root","Rocket Launcher","Aggressive Frame","0.01%","∞%"
"1308","The Guiding Sight","Scout Rifle","High-Impact Frame","0.01%","∞%"
"1309","Swarm of the Raven","Grenade Launcher","Rapid-Fire Frame","0.01%","∞%"
"1310","Nullify (Adept)","Pulse Rifle","Heavy Burst","0.01%","∞%"
"1311","Techeun Force","Fusion Rifle","Adaptive Frame","0.01%","∞%"
"1312","Warden's Law","Hand Cannon","Heavy Burst","0.01%","∞%"
"1313","Liminal Vigil","Sidearm","Heavy Burst","0.01%","∞%"
"1314","Incisor","Trace Rifle","Adaptive Frame","0.01%","∞%"
"1315","Refusal of the Call","Glaive","Adaptive Glaive","0.01%","∞%"
"1316","Long Arm","Scout Rifle","Aggressive Frame","0.01%","∞%"
"1317","Rake Angle","Glaive","Aggressive Glaive","0.01%","∞%"
"1318","Transfiguration","Scout Rifle","High-Impact Frame","0.01%","∞%"
"1319","Phoneutria Fera","Hand Cannon","Spread Shot","0.01%","∞%"
"1320","The Wizened Rebuke","Fusion Rifle","High-Impact Frame","0.01%","∞%"
"1321","Zephyr","Sword","Adaptive Frame","0.01%","∞%"
"1322","Loud Lullaby","Hand Cannon","Aggressive Frame","0.01%","∞%"
"1323","A Fine Memorial","Machine Gun","Adaptive Frame","0.01%","∞%"
"1324","Tatara Gaze","Sniper Rifle","Aggressive Frame","0.01%","∞%"
"1325","Loaded Question","Fusion Rifle","High-Impact Frame","0.01%","∞%"
"1326","Cold Front","Submachine Gun","Aggressive Frame","0.01%","∞%"
"1327","Exalted Truth (Adept)","Hand Cannon","Adaptive Frame","0.01%","∞%"
"1328","The Hero's Burden","Submachine Gun","Adaptive Frame","0.01%","∞%"
"1329","Incisor (Adept)","Trace Rifle","Adaptive Frame","0.01%","∞%"
"1330","Watchful Eye (Adept)","Machine Gun","Aggressive Frame","0.01%","∞%"
"1331","Whistler's Whim","Combat Bow","Lightweight Frame","0.01%","∞%"
"1332","Widow's Bite","Sniper Rifle","Rapid-Fire Frame","0.01%","∞%"
"1333","Deadpan Delivery","Shotgun","Aggressive Frame","0.01%","∞%"
"1334","Critical Anomaly (Adept)","Sniper Rifle","Aggressive Frame","0.01%","∞%"
"1335","D.F.A.","Hand Cannon","Adaptive Frame","0.01%","∞%"
"1336","Allied Demand","Sidearm","Adaptive Frame","0.01%","∞%"
"1337","Eye of Sol","Sniper Rifle","Adaptive Frame","0.01%","∞%"
"1338","Zephyr","Sword","Adaptive Frame","0.01%","∞%"
"1339","Go Figure","Pulse Rifle","Aggressive Burst","0.01%","∞%"
"1340","Unwavering Duty (Adept)","Machine Gun","Adaptive Frame","0.01%","∞%"
"1341","Play of the Game","Grenade Launcher","Adaptive Frame","0.01%","∞%"
"1342","Exile's Curse","Fusion Rifle","High-Impact Frame","0.01%","∞%"
"1343","Erentil FR4","Fusion Rifle","High-Impact Frame","0.01%","∞%"
"1344","Temporal Clause","Machine Gun","Rapid-Fire Frame","0.01%","∞%"
"1345","Horror's Least","Pulse Rifle","Rapid-Fire Frame","0.01%","∞%"
"1346","Every Waking Moment","Submachine Gun","Precision Frame","0.01%","∞%"
"1347","Austringer","Hand Cannon","Adaptive Frame","0.01%","∞%"
"1348","Persuader","Sniper Rifle","Rapid-Fire Frame","0.01%","∞%"
"1349","Riiswalker","Shotgun","Lightweight Frame","0.01%","∞%"
"1350","Summum Bonum (Adept)","Sword","Wave Sword Frame","0.01%","∞%"
"1351","The Guiding Sight","Scout Rifle","High-Impact Frame","0.01%","∞%"
"1352","Division","Sidearm","Heavy Burst","0.01%","∞%"
"1353","Anamnesis","Combat Bow","Lightweight Frame","0.01%","∞%"
"1354","The Old Fashioned","Hand Cannon","Adaptive Frame","0.01%","∞%"
"1355","Uzume RR4","Sniper Rifle","Adaptive Frame","0.01%","∞%"
"1356","Better Devils","Hand Cannon","Adaptive Frame","0.01%","∞%"
"1357","Trachinus","Shotgun","Rapid Fire Slug","0.01%","∞%"
"1358","Spoiler Alert","Sidearm","Lightweight Frame","0.01%","∞%"
"1359","Psychopomp (Adept)","Grenade Launcher","Area Denial Frame","0.01%","∞%"
"1360","The Militia's Birthright","Grenade Launcher","Lightweight Frame","0.01%","∞%"
"1361","Zephyr","Sword","Adaptive Frame","0.01%","∞%"
"1362","Premonition","Pulse Rifle","High-Impact Frame","0.01%","∞%"
"1363","Afterlight","Fusion Rifle","Adaptive Frame","0.01%","∞%"
"1364","Martyr's Retribution","Grenade Launcher","Wave Frame","0.01%","∞%"
"1365","Abyssal Edge","Sword","Wave Sword Frame","0.01%","∞%"
"1366","Refusal of the Call (Adept)","Glaive","Adaptive Glaive","0.01%","∞%"
"1367","Night Terror","Sword","Adaptive Frame","0.01%","∞%"
"1368","The Militia's Birthright (Adept)","Grenade Launcher","Lightweight Frame","0.01%","∞%"
"1369","The Inquisitor","Shotgun","Pinpoint Slug Frame","0.01%","∞%"
"1370","Parcel of Stardust","Shotgun","Lightweight Frame","0.01%","∞%"
"1371","Exalted Truth","Hand Cannon","Adaptive Frame","0.01%","∞%"
"1372","Coriolis Force","Fusion Rifle","Aggressive Frame","0.01%","∞%"
"1373","Ribbontail","Trace Rifle","Adaptive Frame","0.01%","∞%"
"1374","Subtle Calamity","Combat Bow","Precision Frame","0.01%","∞%"
"1375","The Militia's Birthright","Grenade Launcher","Lightweight Frame","0.01%","∞%"
"1376","Crimil's Dagger","Hand Cannon","Aggressive Frame","0.01%","∞%"
"1377","Whistler's Whim (Adept)","Combat Bow","Lightweight Frame","0.01%","∞%"
"1378","The Comedian","Shotgun","Aggressive Frame","0.01%","∞%"
"1379","Patron of Lost Causes","Scout Rifle","Lightweight Frame","0.01%","∞%"
"1380","Undercurrent","Grenade Launcher","Wave Frame","0.01%","∞%"
"1381","The Ringing Nail","Auto Rifle","Precision Frame","0.01%","∞%"
"1382","Riiswalker","Shotgun","Lightweight Frame","0.01%","∞%"
"1383","Phoneutria Fera","Hand Cannon","Spread Shot","0.01%","∞%"
"1384","Edge Transit","Grenade Launcher","Adaptive Frame","0.01%","∞%"
"1385","Steelfeather Repeater","Auto Rifle","Rapid-Fire Frame","0.01%","∞%"
"1386","Mindbender's Ambition","Shotgun","Aggressive Frame","0.01%","∞%"
"1387","Non-Denouement (Adept)","Combat Bow","Precision Frame","0.01%","∞%"
"1388","Something New","Hand Cannon","Aggressive Frame","0.01%","∞%"
"1389","Claws of the Wolf","Pulse Rifle","Rapid-Fire Frame","0.01%","∞%"
"1390","Mindbender's Ambition","Shotgun","Aggressive Frame","0.01%","∞%"
"1391","Scintillation","Linear Fusion Rifle","Adaptive Burst","0.01%","∞%"
"1392","Talons of the Eagle","Scout Rifle","High-Impact Frame","0.01%","∞%"
"1393","Eye of Sol","Sniper Rifle","Adaptive Frame","0.01%","∞%"
"1394","Adamantite (Adept)","Auto Rifle","Support Frame","0.01%","∞%"
"1395","Last Hope","Sidearm","Adaptive Burst","0.01%","∞%"
"1396","Zenobia-D","Rocket Launcher","Precision Frame","0.01%","∞%"
"1397","Breachlight","Sidearm","Heavy Burst","0.01%","∞%"
"1398","The Comedian (Adept)","Shotgun","Aggressive Frame","0.01%","∞%"
"1399","Tranquility","Sniper Rifle","Adaptive Frame","0.01%","∞%"
"1400","The Inquisitor (Adept)","Shotgun","Pinpoint Slug Frame","0.01%","∞%"
"1401","Ribbontail","Trace Rifle","Adaptive Frame","0.01%","∞%"
"1402","Exalted Truth (Adept)","Hand Cannon","Adaptive Frame","0.01%","∞%"
"1403","Crooked Fang-4fr","Linear Fusion Rifle","Precision Frame","0.01%","∞%"
"1404","Perfect Paradox","Shotgun","Rapid-Fire Frame","0.01%","∞%"
"1405","Stay Frosty","Pulse Rifle","Lightweight Frame","0.01%","∞%"
"1406","Shadow Price","Auto Rifle","Precision Frame","0.01%","∞%"
"1407","Cold Front","Submachine Gun","Aggressive Frame","0.01%","∞%"
"1408","Whistler's Whim (Adept)","Combat Bow","Lightweight Frame","0.01%","∞%"
"1409","Stryker's Sure-Hand","Sword","Adaptive Frame","0.01%","∞%"
"1410","Trachinus","Shotgun","Rapid Fire Slug","0.01%","∞%"
"1411","Compass Rose","Shotgun","Precision Frame","0.01%","∞%"
"1412","Misfit","Auto Rifle","Rapid-Fire Frame","0.01%","∞%"
"1413","Forthcoming Deviance (Adept)","Glaive","Rapid-Fire Glaive","0.01%","∞%"
"1414","Hardline Cut","Sword","Adaptive Frame","0.01%","∞%"
"1415","Refusal of the Call (Adept)","Glaive","Adaptive Glaive","0.01%","∞%"
"1416","Hardline Cut","Sword","Adaptive Frame","0.01%","∞%"
"1417","Mos Epoch III","Rocket Launcher","Aggressive Frame","0.01%","∞%"
"1418","Abyssal Edge (Adept)","Sword","Wave Sword Frame","0.01%","∞%"
"1419","Frontier's Cry","Hand Cannon","Precision Frame","0.01%","∞%"
"1420","Mirror Imago (Adept)","Submachine Gun","Adaptive Frame","0.01%","∞%"
"1421","The Inquisitor","Shotgun","Pinpoint Slug Frame","0.01%","∞%"
"1422","Synanceia","Sword","Wave Sword Frame","0.01%","∞%"
"1423","Action Item","Trace Rifle","Adaptive Frame","0.01%","∞%"
"1424","No Survivors (Adept)","Submachine Gun","Aggressive Frame","0.01%","∞%"
"1425","Hardline Cut","Sword","Adaptive Frame","0.01%","∞%"
"1426","Eyes Unveiled (Adept)","Linear Fusion Rifle","Precision Frame","0.01%","∞%"
"1427","Trophy Hunter","Sniper Rifle","Aggressive Frame","0.01%","∞%"
"1428","The Spiteful Fang","Combat Bow","Lightweight Frame","0.01%","∞%"
"1429","Action Item","Trace Rifle","Adaptive Frame","0.01%","∞%"
"1430","Undercurrent","Grenade Launcher","Wave Frame","0.01%","∞%"
"1431","Cold Comfort (Adept)","Rocket Launcher","Aggressive Frame","0.01%","∞%"
"1432","Sixth Sense","Hand Cannon","Aggressive Frame","0.01%","∞%"
"1433","Whistler's Whim","Combat Bow","Lightweight Frame","0.01%","∞%"
"1434","Romantic Death","Grenade Launcher","Wave Frame","0.01%","∞%"
"1435","No Feelings","Scout Rifle","Precision Frame","0.01%","∞%"
"1436","Folded Root","Rocket Launcher","Aggressive Frame","0.01%","∞%"
"1437","Galliard-42 XN7568","Auto Rifle","Adaptive Frame","0.01%","∞%"
"1438","Service Revolver","Hand Cannon","Precision Frame","0.01%","∞%"
